gauge;gauge_id;leitercharackter_huek250;hohlraumart_huek250;durchlässigkeit_huek250;dominating_soil_type_bk500;gesteinsart_huek250;soil_texture_boart_1000;land_use_corine;bodenausgangsgesteine_bag5000;bodengrosslandschaft_bgl5000;area_m2_watershed_cat;nFK_1m_FKD10dm_1000_cat;grundwasserneubildung_gwn_1000_cat;sickerwasserrate_mean_swr_1000_cat;greundigkeit_physgru_1000_cat;slope_mean_dem_40_cat;height_mean_dem_40_cat;height_min_cat;height_max_cat;elongation_ratio_cat;height_difference_cat
Huemme;44850108;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Eutric Cambisols / Stagnic Gleysols ;Sediment;Schlufftone (ut);Agriculture;Tongesteine (i.w.S.);BGL mit hohem Anteil an Sand  und Mergelgesteinen, stellenweise im Wechsel mit Loesslehm;(3117814.195, 935127935.037];(241.125, 300.333];(48.87, 117.619];(198.312, 358.966];(8.555, 12.498];(0.783, 5.252];(121.817, 289.056];(86.97, 180.373];(209.695, 467.765];(0.47, 0.632];(122.577, 337.022]
Ilbenstadt;24850058;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Agriculture;Loesse und Loessderivate;BGL der Loesslandschaften des Berglandes (Becken, Talweitungen, Senken, Berglandhaenge und LoesshÃ¼gellaender);(935127935.037, 1864350388.518];(241.125, 300.333];(48.87, 117.619];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(121.817, 289.056];(86.97, 180.373];(725.064, 982.362];(0.47, 0.632];(550.825, 764.629]
Jossa-neu;24480695;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(519.139, 679.312];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.308, 0.47];(122.577, 337.022]
Kaemmerzell;42350057;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(725.064, 982.362];(0.47, 0.632];(550.825, 764.629]
Kassel;24783358;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(9.707, 14.162];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Kerzell;42250256;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(0.783, 5.252];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(122.577, 337.022]
Kirchheim;42560300;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Kransberg;24840950;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(181.917, 241.125];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.632, 0.794];(337.022, 550.825]
Lollar;25831605;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Tonschluffe (tu);Wood;Loesse und Loessderivate;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(241.125, 300.333];(48.87, 117.619];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(121.817, 289.056];(86.97, 180.373];(209.695, 467.765];(0.308, 0.47];(122.577, 337.022]
Lorsch;23942300;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Magmatit;Sandlehme (sl);Agriculture;Saure Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(5.252, 9.707];(121.817, 289.056];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Luetterz;42360550;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Dystric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(0.783, 5.252];(289.056, 455.795];(180.373, 273.496];(725.064, 982.362];(0.308, 0.47];(337.022, 550.825]
Marborn;24781159;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Tongesteine (i.w.S.);BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(0.783, 5.252];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(122.577, 337.022]
Marburg;25830056;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Spodic Cambisols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(935127935.037, 1864350388.518];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(725.064, 982.362];(0.47, 0.632];(550.825, 764.629]
Martinsthal;25140058;Grundwasser-Leiter;Kluft;maessig (>1E-5 - 1E-4);Dystric Cambisols;Sediment;Lehmschluffe (lu);Wood;Sandsteine;BGL mit hohen Anteilen an Quarzit, Grauwacke, Sandsteine und Konglomerat sowie Ton  und Schluffschiefern;(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(9.707, 14.162];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Melzdorf;42650050;Grundwasser-Leiter;Kluft/Poren;maessig (>1E-5 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(273.496, 366.62];(725.064, 982.362];(0.632, 0.794];(337.022, 550.825]
Michelbach;25880305;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Michelstadt;24740606;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(186.163, 254.707];(519.139, 679.312];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Muenster;24840407;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Tonschluffe (tu);Wood;Loesse und Loessderivate;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(241.125, 300.333];(48.87, 117.619];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(121.817, 289.056];(86.97, 180.373];(209.695, 467.765];(0.632, 0.794];(122.577, 337.022]
Muschenheim;24840600;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Tonschluffe (tu);Wood;Loesse und Loessderivate;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(241.125, 300.333];(48.87, 117.619];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(121.817, 289.056];(86.97, 180.373];(209.695, 467.765];(0.308, 0.47];(122.577, 337.022]
Nauheim;23980353;Grundwasser-Leiter;Poren;mittel (>1E-4 - 1E-3);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Terrassen- und Schotterablagerungen;BGL der Hochflutlehm-, Terrassensand- und Flussschottergebiete;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(121.817, 289.056];(86.97, 180.373];(209.695, 467.765];(0.308, 0.47];(122.577, 337.022]
Niddawitzhausen;41890059;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Agriculture;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(48.87, 117.619];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(725.064, 982.362];(0.632, 0.794];(550.825, 764.629]
Nieder-Florstadt;24830050;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Agriculture;Loesse und Loessderivate;BGL der Loesslandschaften des Berglandes (Becken, Talweitungen, Senken, Berglandhaenge und LoesshÃ¼gellaender);(3117814.195, 935127935.037];(241.125, 300.333];(48.87, 117.619];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(121.817, 289.056];(86.97, 180.373];(725.064, 982.362];(0.47, 0.632];(550.825, 764.629]
Niederbrechen;25871756;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(181.917, 241.125];(48.87, 117.619];(198.312, 358.966];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(725.064, 982.362];(0.47, 0.632];(550.825, 764.629]
Niederjossa;42540358;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Niederwetter;25811255;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Ober-Erlenbach;24880208;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);BGL mit hohen Anteilen an Quarzit, Grauwacke, Sandsteine und Konglomerat sowie Ton  und Schluffschiefern;(3117814.195, 935127935.037];(181.917, 241.125];(48.87, 117.619];(198.312, 358.966];(8.555, 12.498];(0.783, 5.252];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Ober-Ofleiden;25821259;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(0.783, 5.252];(289.056, 455.795];(180.373, 273.496];(725.064, 982.362];(0.47, 0.632];(337.022, 550.825]
Oberkleen;25832357;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(122.577, 337.022]
Pfaffental;25650156;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(9.707, 14.162];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Philippsthal;41490050;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Eutric Cambisols / Stagnic Gleysols;Sediment;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL mit hohem Anteil an Sand  und Mergelgesteinen, stellenweise im Wechsel mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(455.795, 622.534];(180.373, 273.496];(725.064, 982.362];(0.308, 0.47];(550.825, 764.629]
Riebelsdorf;428832990;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(198.312, 358.966];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Rod an der Weil;25860454;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";(3117814.195, 935127935.037];(122.531, 181.917];(48.87, 117.619];(358.966, 519.139];(4.601, 8.555];(9.707, 14.162];(455.795, 622.534];(180.373, 273.496];(725.064, 982.362];(0.308, 0.47];(550.825, 764.629]
Roellshausen;42880800;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Tonschluffe (tu);Agriculture;Loesse und Loessderivate;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(241.125, 300.333];(117.619, 186.163];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Rothemann;42260250;Grundwasser-Leiter/Geringleiter;Kluft;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(455.795, 622.534];(273.496, 366.62];(725.064, 982.362];(0.47, 0.632];(337.022, 550.825]
Ruppertsburg;24820206;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Wood;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(5.252, 9.707];(121.817, 289.056];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Schlechtenwegen;42410104;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(241.125, 300.333];(186.163, 254.707];(519.139, 679.312];(8.555, 12.498];(0.783, 5.252];(455.795, 622.534];(273.496, 366.62];(725.064, 982.362];(0.308, 0.47];(337.022, 550.825]
Schotten 1;24810155;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Tonschluffe (tu);Wood;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(186.163, 254.707];(519.139, 679.312];(4.601, 8.555];(5.252, 9.707];(455.795, 622.534];(180.373, 273.496];(725.064, 982.362];(0.308, 0.47];(337.022, 550.825]
Schotten 2;24810202;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.308, 0.47];(122.577, 337.022]
Silges;42660451;Grundwasser-Leiter;Kluft/Poren;maessig (>1E-5 - 1E-4);Dystric Cambisols;Sediment;Lehmsande (ls);Grassland;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(273.496, 366.62];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Steinau;24780757;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Eutric Cambisols / Stagnic Gleysols ;Sediment;Tonschluffe (tu);Grassland;Tongesteine (i.w.S.);BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.47, 0.632];(337.022, 550.825]
Steinau 2;24781002;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(519.139, 679.312];(4.601, 8.555];(5.252, 9.707];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Steinberg;24860109;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(122.531, 181.917];(186.163, 254.707];(519.139, 679.312];(4.601, 8.555];(5.252, 9.707];(455.795, 622.534];(180.373, 273.496];(725.064, 982.362];(0.308, 0.47];(337.022, 550.825]
Unter-Schmitten;24810600;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(5.252, 9.707];(289.056, 455.795];(86.97, 180.373];(725.064, 982.362];(0.47, 0.632];(550.825, 764.629]
Uttershausen;42882806;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Spodic Cambisols;Magmatit;Tonschluffe (tu);Agriculture;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(935127935.037, 1864350388.518];(241.125, 300.333];(48.87, 117.619];(198.312, 358.966];(12.498, 16.441];(0.783, 5.252];(289.056, 455.795];(86.97, 180.373];(467.765, 725.064];(0.308, 0.47];(337.022, 550.825]
Windecken;24861407;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Tonschluffe (tu);Agriculture;Basische Magmatite und Metamorphite;BGL der Loesslandschaften des Berglandes (Becken, Talweitungen, Senken, Berglandhaenge und LoesshÃ¼gellaender);(3117814.195, 935127935.037];(181.917, 241.125];(117.619, 186.163];(358.966, 519.139];(8.555, 12.498];(0.783, 5.252];(121.817, 289.056];(86.97, 180.373];(725.064, 982.362];(0.308, 0.47];(550.825, 764.629]
Ziegenhagen 1;41980355;Grundwasser-Geringleiter;Kluft;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Lehmsande (ls);Wood;Sandsteine;BGL mit hohem Anteil an Sand , Schluff  und Tongesteinen, haeufig im Wechsel mit Loess;(3117814.195, 935127935.037];(122.531, 181.917];(117.619, 186.163];(358.966, 519.139];(4.601, 8.555];(9.707, 14.162];(289.056, 455.795];(180.373, 273.496];(467.765, 725.064];(0.632, 0.794];(337.022, 550.825]
