gauge_id;gauge;leitercharackter_huek250;hohlraumart_huek250;durchlässigkeit_huek250;dominating_soil_type_bk500;gesteinsart_huek250;soil_texture_boart_1000;land_use_corine;bodenausgangsgesteine_bag5000;bodengrosslandschaft_bgl5000;area_m2_watershed;nFK_1m_FKD10dm_1000;grundwasserneubildung_gwn_1000;sickerwasserrate_mean_swr_1000;greundigkeit_physgru_1000;slope_mean_dem_40;height_mean_dem_40;height_min;height_max;elongation_ratio;height_difference;et_mean;dis_mean;prec_mean;runoff_ratio
25840650;Dillenburg 2;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";81925634.41;144.1484513;141.94770119999998;584.7737527;6.483318305;10.32464155;433.25257039999997;248.548996;674.9249877999999;0.4520647821919298;426.37599179999995;558.5556935020035;501.62180733731117;1060.1616130178854;0.47315598035037376
23960709;Eberstadt;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Magmatit;Sandlehme (sl);Grassland;Saure Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;85976162.04;232.65191780000004;135.216469;396.08065;11.36124177;6.929924943;266.8449504;109.8050003;586.414978;0.36074958765631254;476.6099777;576.1786073659827;250.04176644416572;828.9474436551482;0.3016376591278639
44480552;Ehringen;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Eutric Cambisols;Sediment;Tonschluffe (tu);Agriculture;Sandsteine;BGL mit hohem Anteil an Sand  und Mergelgesteinen, stellenweise im Wechsel mit Loesslehm;137732074.5;229.78156409999997;79.97587456;278.16709610000004;10.34081527;4.860730553;311.8593128;192.6430054;600.1820068;0.6400761249944801;407.53900139999996;557.5498590884997;156.06094839897716;713.6108074874767;0.21869196312825728
24810359;Eichelsachsen;Grundwasser-Leiter;Kluft;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Tonschluffe (tu);Grassland;Basische Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;23848554.29;201.5154889;210.7304781;583.9590254999999;6.964179103999999;6.370580843;449.654302;235.3209991;770.7210083;0.44600599335858787;535.4000092;584.7786613664607;404.34364747278863;989.1223088392502;0.4087903425687486
24960307;Eppstein;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols;Sediment;Tonschluffe (tu);Wood;Sandsteine;BGL mit hohen Anteilen an Quarzit, Grauwacke, Sandsteine und Konglomerat sowie Ton  und Schluffschiefern;110368185.8;164.63460859999998;75.80231488;351.9728248;6.0342087079999995;8.149484907;374.1227513;176.401001;793.4400024;0.686576694518091;617.0390014;600.5100365158094;202.48892308705766;802.8585808300096;0.2522099506960752
25860851;Essershausen;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";205843874.3;135.93800359999997;77.12933577;394.7768659;4.933424377;8.346240857;385.7469421;154.67999269999999;876.4530028999999;0.3886220238567778;721.7730101999999;503.17766038731315;278.81074470096246;781.9884050882755;0.3565407656773231
25831059;Etzelmuehle;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";81138019.65;212.17412209999998;97.42708482;424.61984440000003;10.04343891;7.916689824;337.4007014;193.0500031;563.4160156;0.5177415771103957;370.3660125;554.3557499810549;297.4504556358828;851.8062056169371;0.34919968142336855
23940359;Fahrenbach;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Dystric Cambisols ;Magmatit;Sandlehme (sl);Grassland;Saure Magmatite und Metamorphite;BGL der basischen bis intermediaeren Vulkaniten, z.T. wechselnd mit Loesslehm;44237325.79;183.7621799;159.3705196;498.0728482;8.885737439;10.41319598;326.81910919999996;179.9089966;574.2379761;0.6496560697197895;394.32897949999995;622.431190626463;375.65213384412925;998.0833244705922;0.3763735197593691
24841206;Friedberg;Grundwasser-Geringleiter;Kluft;gering bis aeußerst gering (<1E-5);Spodic Cambisols;Sediment;Tonschluffe (tu);Agriculture;Tongesteine (i.w.S.);"BGL der Ton  und Schluffschiefer mit wechselnden Anteilen an Grauwacke, Kalkstein, Sandstein und  Quarzit; z.T. wechselnd mit Loesslehm";183595925.3;204.3921449;68.82705526;280.8936045;8.747474747;5.071132744;295.4917151;126.78099820000001;573.0900268999999;0.43794181842262675;446.3090286999999;522.2488445119853;173.9332215062898;696.1820660182751;0.24983869880630333
42870057;Fritzlar;Grundwasser-Geringleiter;Kluft;sehr gering (>1E-9 - 1E-7);Spodic Cambisols;Sediment;Tonschluffe (tu);Wood;Tongesteine (i.w.S.);BGL mit hohen Anteilen an Quarzit, Grauwacke, Sandsteine und Konglomerat sowie Ton  und Schluffschiefern;1800724676.0;161.0013447;122.8327337;464.11120880000004;6.678257394;8.72982707;433.1076323;167.6170044;839.3469848999999;0.3083406093862144;671.7299804999999;482.84235177206074;378.55362372374776;861.3959754958083;0.43946528018761316
