gauge;gauge_id;durchl‰ssigkeit_huek250;dominating_soil_type_bk500;gesteinsart_huek250;land_use_corine;area_m2_watershed;grundwasserneubildung_gwn_1000;greundigkeit_physgru_1000;slope_mean_dem_40;perimeter;max_flow_len
Martinsthal;25140058;maessig (>1E-5 - 1E-4);Dystric Cambisols;Sediment;Wood;24443981.98;73.98339065;7.096825397;9.735644055;1046683360;11150.57227
Melzdorf;42650050;maessig (>1E-5 - 1E-4);Dystric Cambisols;Sediment;Grassland;107493569.1;132.3166907;9.237046632;5.267156524;2344923102;18293.79102
Michelbach;25880305;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;144318570.4;68.1136582;5.699398798;7.85936414;3017799785;33050.52344
Michelstadt;24740606;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Wood;130999403.1;192.1677626;10.75419599;8.992949144;2942557990;26185.63672
Muenster;24840407;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Wood;85924303.5;117.0732379;16.15784909;4.391654699;2695770525;16220.16699
Muschenheim;24840600;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Wood;175930568.4;98.96364427;14.96506734;3.472825295;4316856168;32109.44336
Nauheim;23980353;mittel (>1E-4 - 1E-3);Dystric Cambisols;Sediment;Wood;175233651.2;135.6589577;14.31120219;0.796493872;3808141498;31934.53906
Niddawitzhausen;41890059;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Agriculture;429549623.4;113.6895525;7.111987638;8.669471217;5195846160;31622.58008
Nieder-Florstadt;24830050;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Agriculture;526176609.6;108.1177989;14.58822303;4.25052432;4882432096;48431.5625
Niederbrechen;25871756;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;305637296;61.12776345;9.410283688;6.436873665;4107407441;33906.41016
Niederjossa;42540358;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Wood;113264041;96.76423117;6.453565009;6.604142815;2687698602;21887.89063
Niederwetter;25811255;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Wood;173759726.4;103.7084927;8.175740592;6.981304127;3678553282;26703.2793
Ober-Erlenbach;24880208;gering bis aeuﬂerst gering (<1E-5);Dystric Cambisols;Sediment;Wood;71204999.84;97.19779064;9.449776786;4.402591683;2343394797;25205.04688
Ober-Ofleiden;25821259;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Grassland;317045302.3;155.6391089;11.73980978;5.083636059;4192506194;40790.54297
Oberkleen;25832357;gering bis aeuﬂerst gering (<1E-5);Dystric Cambisols;Sediment;Wood;23588380.87;62.41141769;5.306990881;6.798906877;1134341312;10234.59277
Pfaffental;25650156;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;170127503;49.07518498;4.612370724;12.32602125;3294371331;25561.02734
Philippsthal;41490050;maessig bis gering (>1E-6 - 1E-4);Eutric Cambisols / Stagnic Gleysols;Sediment;Grassland;420286210.1;144.2078459;6.576010101;7.175906231;5299820787;56222.35938
Riebelsdorf;428832990;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Wood;80431499.76;100.2646512;6.583704363;5.941654871;2093544079;18038.40039
Rod an der Weil;25860454;gering bis aeuﬂerst gering (<1E-5);Spodic Cambisols;Sediment;Wood;77929172.02;100.4810425;5.034132841;9.987016275;2248603473;22766.22852
Roellshausen;42880800;mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Magmatit;Agriculture;250847712.7;117.8271486;14.33662528;4.250890087;4459443552;37637.34375
Rothemann;42260250;maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Sediment;Grassland;69604266.21;167.7079243;5.655521783;7.230735029;1892197074;17109.17773
Ruppertsburg;24820206;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Wood;29459574.85;119.8495537;11.28571429;6.728105544;1676468840;18136.63086
Schlechtenwegen;42410104;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Grassland;41257054.65;254.7066681;8.785542169;4.534702206;1313182799;15542.52539
Schotten 1;24810155;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Wood;27071501.72;231.8215708;6.325675676;6.888010124;1161058466;12589.38867
Schotten 2;24810202;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Magmatit;Grassland;5905481.555;169.0653168;7.994252874;6.84733461;607603711.5;5864.405273
Silges;42660451;maessig (>1E-5 - 1E-4);Dystric Cambisols;Sediment;Grassland;78842631.97;122.478569;6.24340949;7.191700725;1651994249;17352.71484
Steinau;24780757;gering (>1E-7 - 1E-5);Eutric Cambisols / Stagnic Gleysols ;Sediment;Grassland;116167685.9;132.8361812;8.330118233;7.014308549;2371492129;20289.76367
Steinberg;24860109;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Grassland;24585214.22;234.951345;6.298076923;6.271141276;1537563179;17596.03906
Unter-Schmitten;24810600;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Grassland;126835222.3;159.8743092;9.50653038;6.461846835;2542707204;22828.47656
Uttershausen;42882806;mittel bis maessig (>1E-5 - 1E-3);Spodic Cambisols;Magmatit;Agriculture;987011232.5;101.0512745;12.6488061;4.7228076;8751078725;87727.20313
Windecken;24861407;mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Magmatit;Agriculture;392467674.3;136.1665177;10.34535987;5.188275934;5737602727;55221.30078
Ziegenhagen 1;41980355;gering (>1E-7 - 1E-5);Dystric Cambisols;Sediment;Wood;14248082.6;158.1433073;5.944174757;14.16224443;687442135.6;6498.719727
